timestamp,vazao_L_min,pulsos,dc_temp_%,dc_cooler_%
2026-03-15 19:25:31,9.33,14,0,100
2026-03-15 19:25:31,10.0,15,0,100
2026-03-15 19:25:32,10.0,15,0,100
2026-03-15 19:25:32,9.33,14,0,100
2026-03-15 19:25:32,10.0,15,0,100
2026-03-15 19:25:32,10.0,15,0,100
2026-03-15 19:25:32,9.33,14,0,100
2026-03-15 19:25:33,10.0,15,0,100
2026-03-15 19:25:33,9.33,14,0,100
2026-03-15 19:25:33,10.0,15,0,100
2026-03-15 19:25:33,9.33,14,0,100
2026-03-15 19:25:33,9.33,14,0,100
2026-03-15 19:25:34,9.33,14,0,100
2026-03-15 19:25:34,9.33,14,0,100
2026-03-15 19:25:34,9.33,14,0,100
2026-03-15 19:25:34,9.33,14,0,100
2026-03-15 19:25:34,9.33,14,0,100
2026-03-15 19:25:35,10.0,15,0,100
2026-03-15 19:25:35,9.33,14,0,100
2026-03-15 19:25:35,9.33,14,0,100
2026-03-15 19:25:35,9.33,14,0,100
2026-03-15 19:25:35,10.0,15,0,100
2026-03-15 19:25:36,9.33,14,0,100
2026-03-15 19:25:36,9.33,14,0,100
2026-03-15 19:25:36,9.33,14,0,100
2026-03-15 19:25:36,9.33,14,0,100
2026-03-15 19:25:36,9.33,14,0,100
2026-03-15 19:25:37,9.33,14,0,100
2026-03-15 19:25:37,9.33,14,0,100
2026-03-15 19:25:37,9.33,14,0,100
2026-03-15 19:25:37,9.33,14,0,100
2026-03-15 19:25:37,9.33,14,0,100
2026-03-15 19:25:38,9.33,14,0,100
2026-03-15 19:25:38,8.67,13,0,100
2026-03-15 19:25:38,9.33,14,0,100
2026-03-15 19:25:38,9.33,14,0,100
2026-03-15 19:25:38,9.33,14,0,100
2026-03-15 19:25:39,9.33,14,0,100
2026-03-15 19:25:39,8.67,13,0,100
2026-03-15 19:25:39,9.33,14,0,100
2026-03-15 19:25:39,8.67,13,0,100
2026-03-15 19:25:39,9.33,14,0,100
2026-03-15 19:25:40,9.33,14,0,100
2026-03-15 19:25:40,8.67,13,0,100
2026-03-15 19:25:40,9.33,14,0,100
2026-03-15 19:25:40,9.33,14,0,100
2026-03-15 19:25:40,9.33,14,0,100
2026-03-15 19:25:41,9.33,14,0,100
2026-03-15 19:25:41,9.33,14,0,100
2026-03-15 19:25:41,8.67,13,0,100
2026-03-15 19:25:41,9.33,14,0,100
2026-03-15 19:25:41,9.33,14,0,100
2026-03-15 19:25:42,9.33,14,0,100
2026-03-15 19:25:42,8.67,13,0,100
2026-03-15 19:25:42,9.33,14,0,100
2026-03-15 19:25:42,9.33,14,0,100
2026-03-15 19:25:42,8.67,13,0,100
2026-03-15 19:25:43,9.33,14,0,100
2026-03-15 19:25:43,9.33,14,0,100
2026-03-15 19:25:43,9.33,14,0,100
2026-03-15 19:25:43,9.33,14,0,100
2026-03-15 19:25:43,9.33,14,0,100
2026-03-15 19:25:44,9.33,14,0,100
2026-03-15 19:25:44,9.33,14,0,100
2026-03-15 19:25:44,9.33,14,0,100
2026-03-15 19:25:44,8.67,13,0,100
2026-03-15 19:25:44,9.33,14,0,100
2026-03-15 19:25:45,9.33,14,0,100
2026-03-15 19:25:45,9.33,14,0,100
2026-03-15 19:25:45,9.33,14,0,100
