timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-03-04 13:43:12,39.57,0.0,8,30,ON
2026-03-04 13:43:14,39.7,0.0,8,27,ON
2026-03-04 13:43:16,39.57,0.0,8,30,ON
2026-03-04 13:43:18,39.59,0.0,8,28,ON
2026-03-04 13:43:20,39.78,0.0,8,28,ON
2026-03-04 13:43:22,39.67,0.0,8,29,ON
2026-03-04 13:43:24,39.59,0.0,8,29,ON
2026-03-04 13:43:26,39.51,0.0,8,30,ON
2026-03-04 13:43:28,39.62,0.0,8,28,ON
2026-03-04 13:43:30,39.62,0.0,9,29,ON
2026-03-04 13:43:32,39.62,0.0,9,29,ON
2026-03-04 13:43:34,39.67,0.0,9,29,ON
2026-03-04 13:43:36,39.75,0.0,9,28,ON
2026-03-04 13:43:38,39.62,0.0,9,30,ON
2026-03-04 13:43:40,39.57,0.0,9,29,ON
2026-03-04 13:43:42,39.59,0.0,9,29,ON
2026-03-04 13:43:44,39.73,0.0,9,28,ON
2026-03-04 13:43:46,39.59,0.0,9,30,ON
2026-03-04 13:43:48,39.7,0.0,9,28,ON
2026-03-04 13:43:50,39.59,0.0,9,30,ON
2026-03-04 13:43:52,39.67,0.0,9,28,ON
2026-03-04 13:43:54,39.65,0.0,9,30,ON
2026-03-04 13:43:56,39.57,0.0,9,29,ON
2026-03-04 13:43:58,39.67,0.0,9,28,ON
2026-03-04 13:44:00,39.57,0.0,9,30,ON
2026-03-04 13:44:02,39.65,0.0,9,28,ON
2026-03-04 13:44:04,39.62,0.0,9,30,ON
2026-03-04 13:44:06,39.65,0.0,9,29,ON
2026-03-04 13:44:08,39.59,0.0,9,30,ON
2026-03-04 13:44:10,39.57,0.0,9,29,ON
2026-03-04 13:44:12,39.62,0.0,9,29,ON
2026-03-04 13:44:14,39.57,0.0,9,30,ON
2026-03-04 13:44:16,39.75,0.0,9,28,ON
2026-03-04 13:44:18,39.62,0.0,9,30,ON
2026-03-04 13:44:20,39.62,0.0,9,29,ON
2026-03-04 13:44:22,39.67,0.0,9,29,ON
2026-03-04 13:44:24,39.7,0.0,10,29,ON
2026-03-04 13:44:26,39.59,0.0,10,30,ON
2026-03-04 13:44:28,39.78,0.0,10,27,ON
2026-03-04 13:44:30,39.59,0.0,10,31,ON
2026-03-04 13:44:32,39.73,0.0,10,28,ON
2026-03-04 13:44:34,39.67,0.0,10,30,ON
2026-03-04 13:44:36,39.57,0.0,10,30,ON
2026-03-04 13:44:38,39.62,0.0,10,29,ON
2026-03-04 13:44:40,39.62,0.0,10,29,ON
2026-03-04 13:44:42,39.67,0.0,10,29,ON
2026-03-04 13:44:44,39.7,0.0,10,29,ON
2026-03-04 13:44:46,39.59,0.0,10,30,ON
2026-03-04 13:44:48,39.67,0.0,10,29,ON
2026-03-04 13:44:50,39.54,0.0,10,31,ON
2026-03-04 13:44:52,39.67,0.0,10,28,ON
2026-03-04 13:44:54,39.62,0.0,10,30,ON
2026-03-04 13:44:56,39.59,0.0,10,29,ON
2026-03-04 13:44:58,39.57,0.0,10,30,ON
2026-03-04 13:45:00,39.67,0.0,10,29,ON
2026-03-04 13:45:02,39.57,0.0,10,30,ON
2026-03-04 13:45:04,39.81,0.0,10,27,ON
2026-03-04 13:45:06,39.7,0.0,10,30,ON
2026-03-04 13:45:08,39.62,0.0,10,29,ON
2026-03-04 13:45:10,39.62,0.0,10,30,ON
2026-03-04 13:45:12,39.62,0.0,10,29,ON
2026-03-04 13:45:14,39.7,0.0,10,29,ON
2026-03-04 13:45:16,39.7,0.0,11,29,ON
2026-03-04 13:45:18,39.62,0.0,11,30,ON
2026-03-04 13:45:20,39.7,0.0,11,29,ON
2026-03-04 13:45:22,39.51,0.0,11,31,ON
2026-03-04 13:45:24,39.67,0.0,11,28,ON
2026-03-04 13:45:26,39.51,0.0,11,31,ON
2026-03-04 13:45:28,39.57,0.0,11,29,ON
2026-03-04 13:45:30,39.67,0.0,11,29,ON
2026-03-04 13:45:32,39.67,0.0,11,29,ON
2026-03-04 13:45:34,39.7,0.0,11,29,ON
2026-03-04 13:45:36,39.43,0.0,11,32,ON
2026-03-04 13:45:38,39.7,0.0,11,27,ON
2026-03-04 13:45:40,39.7,0.0,11,30,ON
2026-03-04 13:45:42,39.62,0.0,11,30,ON
2026-03-04 13:45:44,39.57,0.0,11,30,ON
2026-03-04 13:45:46,39.67,0.0,11,29,ON
2026-03-04 13:45:48,39.62,0.0,11,30,ON
2026-03-04 13:45:50,39.59,0.0,11,30,ON
2026-03-04 13:45:52,39.67,0.0,11,29,ON
2026-03-04 13:45:54,39.57,0.0,11,31,ON
2026-03-04 13:45:56,39.7,0.0,11,28,ON
2026-03-04 13:45:58,39.62,0.0,11,31,ON
2026-03-04 13:46:00,39.59,0.0,11,30,ON
2026-03-04 13:46:02,39.54,0.0,11,30,ON
2026-03-04 13:46:04,39.59,0.0,11,29,ON
2026-03-04 13:46:06,39.7,0.0,11,29,ON
2026-03-04 13:46:08,39.73,0.0,11,29,ON
2026-03-04 13:46:10,39.67,0.0,12,30,ON
2026-03-04 13:46:12,39.73,0.0,12,29,ON
2026-03-04 13:46:14,39.49,0.0,12,32,ON
2026-03-04 13:46:16,39.73,0.0,12,28,ON
2026-03-04 13:46:18,39.59,0.0,12,31,ON
2026-03-04 13:46:20,39.7,0.0,12,28,ON
2026-03-04 13:46:22,39.67,0.0,12,30,ON
2026-03-04 13:46:24,39.67,0.0,12,29,ON
2026-03-04 13:46:26,39.67,0.0,12,30,ON
2026-03-04 13:46:28,39.7,0.0,12,29,ON
2026-03-04 13:46:30,39.73,0.0,12,29,ON
2026-03-04 13:46:32,39.78,0.0,12,29,ON
2026-03-04 13:46:34,39.7,0.0,12,30,ON
2026-03-04 13:46:36,39.7,0.0,12,29,ON
2026-03-04 13:46:38,39.75,0.0,12,29,ON
2026-03-04 13:46:40,39.7,0.0,12,30,ON
2026-03-04 13:46:42,39.73,0.0,12,29,ON
2026-03-04 13:46:44,39.57,0.0,12,31,ON
2026-03-04 13:46:46,39.67,0.0,12,29,ON
2026-03-04 13:46:48,39.54,0.0,12,31,ON
2026-03-04 13:46:50,39.51,0.0,12,30,ON
2026-03-04 13:46:52,39.67,0.0,12,29,ON
2026-03-04 13:46:54,39.62,0.0,12,30,ON
2026-03-04 13:46:56,39.59,0.0,12,30,ON
2026-03-04 13:46:58,39.73,0.0,12,29,ON
2026-03-04 13:47:00,39.67,0.0,12,30,ON
2026-03-04 13:47:02,39.59,0.0,13,30,ON
2026-03-04 13:47:04,39.62,0.0,13,30,ON
2026-03-04 13:47:06,39.7,0.0,13,29,ON
2026-03-04 13:47:08,39.59,0.0,13,31,ON
2026-03-04 13:47:10,39.78,0.0,13,28,ON
2026-03-04 13:47:12,39.7,0.0,13,31,ON
2026-03-04 13:47:14,39.73,0.0,13,29,ON
2026-03-04 13:47:16,39.57,0.0,13,31,ON
2026-03-04 13:47:18,39.49,0.0,13,30,ON
2026-03-04 13:47:20,39.73,0.0,13,29,ON
2026-03-04 13:47:22,39.7,0.0,13,30,ON
2026-03-04 13:47:24,39.59,0.0,13,30,ON
2026-03-04 13:47:26,39.67,0.0,13,29,ON
2026-03-04 13:47:28,39.7,0.0,13,30,ON
2026-03-04 13:47:30,39.7,0.0,13,30,ON
2026-03-04 13:47:32,39.67,0.0,13,30,ON
2026-03-04 13:47:34,39.78,0.0,13,29,ON
2026-03-04 13:47:36,39.59,0.0,13,31,ON
2026-03-04 13:47:38,39.59,0.0,13,30,ON
2026-03-04 13:47:40,39.67,0.0,13,30,ON
2026-03-04 13:47:42,39.7,0.0,13,30,ON
2026-03-04 13:47:44,39.59,0.0,13,31,ON
2026-03-04 13:47:46,39.75,0.0,13,29,ON
2026-03-04 13:47:48,39.67,0.0,13,31,ON
2026-03-04 13:47:50,39.67,0.0,13,30,ON
2026-03-04 13:47:52,39.73,0.0,13,30,ON
2026-03-04 13:47:54,39.73,0.0,14,30,ON
2026-03-04 13:47:56,39.73,0.0,14,30,ON
2026-03-04 13:47:58,39.67,0.0,14,30,ON
2026-03-04 13:48:00,39.73,0.0,14,29,ON
2026-03-04 13:48:02,39.7,0.0,14,30,ON
2026-03-04 13:48:04,39.59,0.0,14,31,ON
2026-03-04 13:48:06,39.78,0.0,14,29,ON
2026-03-04 13:48:08,39.7,0.0,14,31,ON
2026-03-04 13:48:10,39.73,0.0,14,29,ON
2026-03-04 13:48:12,39.57,0.0,14,32,ON
2026-03-04 13:48:14,39.62,0.0,14,30,ON
2026-03-04 13:48:16,39.78,0.0,14,29,ON
2026-03-04 13:48:18,39.59,0.0,14,31,ON
2026-03-04 13:48:20,39.67,0.0,14,29,ON
2026-03-04 13:48:22,39.81,0.0,14,29,ON
2026-03-04 13:48:24,39.78,0.0,14,30,ON
2026-03-04 13:48:26,39.57,0.0,14,31,ON
