t_ms,vazao_Lmin,fase
80200,19.3333,DEGRAU
80400,16.6667,DEGRAU
80600,17.3333,DEGRAU
80800,16.6667,DEGRAU
81000,16.6667,DEGRAU
81200,17.3333,DEGRAU
81400,18.0,DEGRAU
81600,16.6667,DEGRAU
81800,14.6667,DEGRAU
82000,18.6667,DEGRAU
82200,17.3333,DEGRAU
82400,18.0,DEGRAU
82600,16.0,DEGRAU
82800,18.0,DEGRAU
83000,18.6667,DEGRAU
83200,15.3333,DEGRAU
83400,14.6667,DEGRAU
83600,17.3333,DEGRAU
83800,14.0,DEGRAU
84000,18.6667,DEGRAU
84200,18.0,DEGRAU
84400,14.6667,DEGRAU
84600,18.0,DEGRAU
84800,16.0,DEGRAU
85000,18.6667,DEGRAU
85200,18.6667,DEGRAU
85400,16.6667,DEGRAU
85600,15.3333,DEGRAU
85800,18.0,DEGRAU
86000,17.3333,DEGRAU
86200,16.0,DEGRAU
86400,18.0,DEGRAU
86600,16.0,DEGRAU
86800,17.3333,DEGRAU
87000,15.3333,DEGRAU
87200,17.3333,DEGRAU
87400,17.3333,DEGRAU
87600,15.3333,DEGRAU
87800,18.0,DEGRAU
88000,17.3333,DEGRAU
88200,18.6667,DEGRAU
88400,16.6667,DEGRAU
88600,16.6667,DEGRAU
88800,18.6667,DEGRAU
89000,19.3333,DEGRAU
89200,16.6667,DEGRAU
89400,16.6667,DEGRAU
89600,16.6667,DEGRAU
89800,16.0,DEGRAU
90000,16.6667,DEGRAU
90200,16.6667,DEGRAU
90400,14.6667,DEGRAU
90600,17.3333,DEGRAU
90800,17.3333,DEGRAU
91000,16.6667,DEGRAU
91200,17.3333,DEGRAU
91400,16.0,DEGRAU
91600,14.6667,DEGRAU
91800,17.3333,DEGRAU
92000,18.0,DEGRAU
92200,16.0,DEGRAU
92400,17.3333,DEGRAU
92600,16.6667,DEGRAU
92800,16.0,DEGRAU
93000,19.3333,DEGRAU
93200,17.3333,DEGRAU
93400,16.6667,DEGRAU
