timestamp,temperatura_C,dc_temp_%,dc_cooler_%
2026-03-15 18:50:16,57.52,100,0
2026-03-15 18:50:18,57.52,100,0
2026-03-15 18:50:20,58.09,100,0
2026-03-15 18:50:22,57.76,100,0
2026-03-15 18:50:24,57.88,100,0
2026-03-15 18:50:26,58.01,100,0
2026-03-15 18:50:28,58.13,100,0
2026-03-15 18:50:30,58.33,100,0
2026-03-15 18:50:32,58.33,100,0
2026-03-15 18:50:34,58.5,100,0
2026-03-15 18:50:36,58.42,100,0
2026-03-15 18:50:38,58.62,100,0
2026-03-15 18:50:40,58.54,100,0
2026-03-15 18:50:42,58.62,100,0
2026-03-15 18:50:44,58.62,100,0
2026-03-15 18:50:46,58.75,100,0
2026-03-15 18:50:48,58.62,100,0
2026-03-15 18:50:50,58.75,100,0
2026-03-15 18:50:52,58.79,100,0
2026-03-15 18:50:54,58.79,100,0
2026-03-15 18:50:56,58.83,100,0
2026-03-15 18:50:58,59.12,100,0
2026-03-15 18:51:00,59.08,100,0
2026-03-15 18:51:02,59.0,100,0
2026-03-15 18:51:04,59.25,100,0
2026-03-15 18:51:06,59.08,100,0
2026-03-15 18:51:08,59.25,100,0
2026-03-15 18:51:10,59.25,100,0
2026-03-15 18:51:12,59.67,100,0
2026-03-15 18:51:14,59.55,100,0
2026-03-15 18:51:16,59.89,100,0
2026-03-15 18:51:18,59.76,100,0
2026-03-15 18:51:20,59.84,100,0
2026-03-15 18:51:22,59.89,100,0
2026-03-15 18:51:24,60.02,100,0
2026-03-15 18:51:26,59.97,100,0
2026-03-15 18:51:28,60.06,100,0
2026-03-15 18:51:30,59.97,100,0
2026-03-15 18:51:32,60.02,100,0
2026-03-15 18:51:34,60.19,100,0
2026-03-15 18:51:36,60.1,100,0
2026-03-15 18:51:38,60.23,100,0
2026-03-15 18:51:40,60.02,100,0
2026-03-15 18:51:42,60.1,100,0
2026-03-15 18:51:44,60.1,100,0
2026-03-15 18:51:46,60.41,100,0
2026-03-15 18:51:48,60.45,100,0
2026-03-15 18:51:50,60.67,100,0
2026-03-15 18:51:52,60.76,100,0
2026-03-15 18:51:54,60.76,100,0
2026-03-15 18:51:56,60.67,100,0
2026-03-15 18:51:58,60.71,100,0
2026-03-15 18:52:00,60.76,100,0
2026-03-15 18:52:02,60.8,100,0
2026-03-15 18:52:04,60.71,100,0
2026-03-15 18:52:06,60.93,100,0
2026-03-15 18:52:08,60.76,100,0
2026-03-15 18:52:10,60.8,100,0
2026-03-15 18:52:12,60.89,100,0
2026-03-15 18:52:14,61.06,100,0
2026-03-15 18:52:16,60.76,100,0
2026-03-15 18:52:18,61.15,100,0
2026-03-15 18:52:20,60.93,100,0
2026-03-15 18:52:22,61.15,100,0
2026-03-15 18:52:24,61.29,100,0
2026-03-15 18:52:26,61.38,100,0
2026-03-15 18:52:28,61.38,100,0
2026-03-15 18:52:30,61.47,100,0
2026-03-15 18:52:32,61.51,100,0
2026-03-15 18:52:34,61.38,100,0
2026-03-15 18:52:36,61.6,100,0
2026-03-15 18:52:38,61.42,100,0
2026-03-15 18:52:40,61.42,100,0
2026-03-15 18:52:42,61.64,100,0
2026-03-15 18:52:44,61.6,100,0
2026-03-15 18:52:46,61.6,100,0
2026-03-15 18:52:48,61.64,100,0
2026-03-15 18:52:50,61.78,100,0
2026-03-15 18:52:52,61.55,100,0
2026-03-15 18:52:54,61.55,100,0
2026-03-15 18:52:56,61.51,100,0
2026-03-15 18:52:58,61.6,100,0
2026-03-15 18:53:00,61.64,100,0
2026-03-15 18:53:02,61.78,100,0
2026-03-15 18:53:04,62.1,100,0
2026-03-15 18:53:06,61.87,100,0
2026-03-15 18:53:08,62.14,100,0
2026-03-15 18:53:10,62.37,100,0
2026-03-15 18:53:12,62.33,100,0
2026-03-15 18:53:14,62.56,100,0
2026-03-15 18:53:16,62.33,100,0
2026-03-15 18:53:18,62.42,100,0
2026-03-15 18:53:20,62.37,100,0
2026-03-15 18:53:22,62.6,100,0
2026-03-15 18:53:24,62.42,100,0
2026-03-15 18:53:26,62.51,100,0
2026-03-15 18:53:28,62.74,100,0
2026-03-15 18:53:30,62.79,100,0
2026-03-15 18:53:32,62.79,100,0
2026-03-15 18:53:34,62.79,100,0
2026-03-15 18:53:36,62.83,100,0
2026-03-15 18:53:38,62.93,100,0
2026-03-15 18:53:40,62.83,100,0
2026-03-15 18:53:42,62.88,100,0
2026-03-15 18:53:44,62.83,100,0
2026-03-15 18:53:46,62.88,100,0
2026-03-15 18:53:48,62.97,100,0
2026-03-15 18:53:50,63.07,100,0
2026-03-15 18:53:52,62.93,100,0
2026-03-15 18:53:54,62.93,100,0
2026-03-15 18:53:56,63.3,100,0
2026-03-15 18:53:58,63.07,100,0
2026-03-15 18:54:00,62.97,100,0
2026-03-15 18:54:02,62.97,100,0
2026-03-15 18:54:04,63.16,100,0
2026-03-15 18:54:06,62.97,100,0
2026-03-15 18:54:08,63.35,100,0
2026-03-15 18:54:10,63.35,100,0
2026-03-15 18:54:12,63.3,100,0
2026-03-15 18:54:14,63.3,100,0
2026-03-15 18:54:16,63.4,100,0
2026-03-15 18:54:18,63.26,100,0
2026-03-15 18:54:20,63.45,100,0
2026-03-15 18:54:22,63.45,100,0
2026-03-15 18:54:24,63.3,100,0
2026-03-15 18:54:26,63.3,100,0
2026-03-15 18:54:28,63.26,100,0
2026-03-15 18:54:30,63.35,100,0
2026-03-15 18:54:32,63.49,100,0
2026-03-15 18:54:34,63.35,100,0
2026-03-15 18:54:36,63.4,100,0
2026-03-15 18:54:38,63.54,100,0
2026-03-15 18:54:40,63.49,100,0
2026-03-15 18:54:42,63.49,100,0
2026-03-15 18:54:44,63.59,100,0
2026-03-15 18:54:46,63.59,100,0
2026-03-15 18:54:48,63.59,100,0
2026-03-15 18:54:50,63.68,100,0
2026-03-15 18:54:52,63.92,100,0
2026-03-15 18:54:54,64.02,100,0
2026-03-15 18:54:56,63.64,100,0
2026-03-15 18:54:58,63.68,100,0
2026-03-15 18:55:00,63.64,100,0
2026-03-15 18:55:02,63.78,100,0
2026-03-15 18:55:04,64.07,100,0
2026-03-15 18:55:06,64.07,100,0
2026-03-15 18:55:08,64.07,100,0
2026-03-15 18:55:10,64.36,100,0
2026-03-15 18:55:12,64.41,100,0
2026-03-15 18:55:14,64.5,100,0
2026-03-15 18:55:16,64.36,100,0
2026-03-15 18:55:18,64.41,100,0
2026-03-15 18:55:20,64.36,100,0
2026-03-15 18:55:22,64.31,100,0
2026-03-15 18:55:24,64.36,100,0
2026-03-15 18:55:26,64.31,100,0
2026-03-15 18:55:28,64.21,100,0
2026-03-15 18:55:30,64.26,100,0
2026-03-15 18:55:32,64.36,100,0
2026-03-15 18:55:34,64.36,100,0
2026-03-15 18:55:36,64.36,100,0
2026-03-15 18:55:38,64.5,100,0
2026-03-15 18:55:40,64.36,100,0
2026-03-15 18:55:42,64.41,100,0
2026-03-15 18:55:44,64.55,100,0
2026-03-15 18:55:46,64.36,100,0
2026-03-15 18:55:48,64.36,100,0
2026-03-15 18:55:50,64.36,100,0
2026-03-15 18:55:52,64.36,100,0
2026-03-15 18:55:54,64.41,100,0
2026-03-15 18:55:56,64.36,100,0
2026-03-15 18:55:58,64.6,100,0
2026-03-15 18:56:00,64.36,100,0
2026-03-15 18:56:02,64.41,100,0
2026-03-15 18:56:04,64.36,100,0
2026-03-15 18:56:06,64.36,100,0
2026-03-15 18:56:08,64.26,100,0
2026-03-15 18:56:10,64.36,100,0
2026-03-15 18:56:12,64.36,100,0
2026-03-15 18:56:14,64.31,100,0
2026-03-15 18:56:16,64.36,100,0
2026-03-15 18:56:18,64.41,100,0
2026-03-15 18:56:20,64.41,100,0
2026-03-15 18:56:22,64.31,100,0
2026-03-15 18:56:24,64.36,100,0
2026-03-15 18:56:26,64.5,100,0
2026-03-15 18:56:28,64.6,100,0
2026-03-15 18:56:30,64.6,100,0
2026-03-15 18:56:32,64.6,100,0
2026-03-15 18:56:34,64.5,100,0
