indice,temperatura_C,vazao_L_min,cooler_%,resistencia
285,41.49,0.0,0,ON
286,41.52,0.0,0,ON
287,41.6,0.0,0,ON
288,41.57,0.0,0,ON
289,41.6,0.0,0,ON
290,41.57,0.0,0,ON
291,41.65,0.0,0,ON
292,41.76,0.0,0,ON
293,41.6,0.0,0,ON
294,41.6,0.0,0,ON
295,41.6,0.0,0,ON
296,41.6,0.0,0,ON
297,41.6,0.0,0,ON
298,41.54,0.0,0,ON
299,41.41,0.0,0,ON
300,41.21,0.0,0,ON
301,41.57,0.0,0,ON
302,41.57,0.0,0,ON
303,41.52,0.0,0,ON
304,41.65,0.0,0,ON
305,41.65,0.0,0,ON
306,41.49,0.0,0,ON
307,41.46,0.0,0,ON
308,41.52,0.0,0,ON
309,41.52,0.0,0,ON
310,41.52,0.0,0,ON
311,41.43,0.0,0,ON
312,41.46,0.0,0,ON
313,41.74,0.0,0,ON
314,41.6,0.0,0,ON
315,41.6,0.0,0,ON
316,41.54,0.0,0,ON
317,41.6,0.0,0,ON
318,41.54,0.0,0,ON
319,41.6,0.0,0,ON
320,41.6,0.0,0,ON
321,41.52,0.0,0,ON
322,41.6,0.0,0,ON
323,41.6,0.0,0,ON
324,41.6,0.0,0,ON
325,41.6,0.0,0,ON
326,41.63,0.0,0,ON
327,41.65,0.0,0,ON
328,41.57,0.0,0,ON
329,41.74,0.0,0,ON
330,41.57,0.0,0,ON
331,41.54,0.0,0,ON
332,41.6,0.0,0,ON
333,41.54,0.0,0,ON
334,41.6,0.0,0,ON
335,41.57,0.0,0,ON
336,41.52,0.0,0,ON
337,41.57,0.0,0,ON
338,41.6,0.0,0,ON
339,41.6,0.0,0,ON
340,41.57,0.0,0,ON
341,41.6,0.0,0,ON
342,41.54,0.0,0,ON
343,41.6,0.0,0,ON
344,41.46,0.0,0,ON
345,41.6,0.0,0,ON
346,41.74,0.0,0,ON
347,41.57,0.0,0,ON
348,41.68,0.0,0,ON
349,41.6,0.0,0,ON
350,41.63,0.0,0,ON
