temp_C,vazao_L_min,cooler_pct,resistencia
51.99,0.00,0,ON
52.16,0.00,0,ON
52.30,0.00,0,ON
52.27,0.00,0,ON
52.48,0.00,0,ON
52.51,0.00,0,ON
52.55,0.00,0,ON
52.72,0.00,0,ON
52.83,0.00,0,ON
52.76,0.00,0,ON
52.97,0.00,0,ON
53.05,0.00,0,ON
53.19,0.00,0,ON
53.30,0.00,0,ON
53.33,0.00,0,ON
53.44,0.00,0,ON
53.66,0.00,0,ON
53.66,0.00,0,ON
53.77,0.00,0,ON
53.84,0.00,0,ON
53.77,0.00,0,ON
53.84,0.00,0,ON
53.88,0.00,0,ON
54.06,0.00,0,ON
54.14,0.00,0,ON
54.14,0.00,0,ON
54.25,0.00,0,ON
54.25,0.00,0,ON
54.39,0.00,0,ON
54.43,0.00,0,ON
54.43,0.00,0,ON
54.39,0.00,0,ON
54.58,0.00,0,ON
54.43,0.00,0,ON
54.65,0.00,0,ON
54.80,0.00,0,ON
54.84,0.00,0,ON
54.84,0.00,0,ON
54.84,0.00,0,ON
54.84,0.00,0,ON
54.88,0.00,0,ON
54.92,0.00,0,ON
54.88,0.00,0,ON
55.07,0.00,0,ON
55.07,0.00,0,ON
55.03,0.00,0,ON
55.18,0.00,0,ON
55.10,0.00,0,ON
55.10,0.00,0,ON
55.14,0.00,0,ON
55.22,0.00,0,ON
55.33,0.00,0,ON
55.33,0.00,0,ON
55.37,0.00,0,ON
55.37,0.00,0,ON
55.41,0.00,0,ON
55.52,0.00,0,ON
55.48,0.00,0,ON
55.56,0.00,0,ON
55.52,0.00,0,ON
55.94,0.00,0,ON
55.83,0.00,0,ON
56.02,0.00,0,ON
55.94,0.00,0,ON
56.02,0.00,0,ON
56.06,0.00,0,ON
56.06,0.00,0,ON
56.06,0.00,0,ON
56.10,0.00,0,ON
56.14,0.00,0,ON
56.14,0.00,0,ON
56.18,0.00,0,ON
56.25,0.00,0,ON
56.10,0.00,0,ON
56.18,0.00,0,ON
56.18,0.00,0,ON
